# {"env_id": "HopperBulletEnv-v0", "t_start": 1587161614.5459487} 
r,l,t
13.318954,8,0.951934
17.496796,7,0.963702
17.711222,5,0.971468
13.31557,11,0.988029
16.496025,5,0.99581
19.150946,11,1.011988
21.362988,11,1.028296
13.378172,8,1.040038
14.177545,7,1.050432
17.459407,5,1.05816
22.039501,14,1.079487
15.922104,13,1.098276
15.834902,9,1.111505
13.500977,9,1.124294
17.474582,8,1.13625
15.09641,7,1.146832
14.565129,12,1.163732
19.937998,8,1.175556
13.255579,11,1.19112
22.939322,18,1.216759
14.81999,8,1.228564
15.919653,13,1.246521
14.343087,6,1.25508
16.039475,9,1.267123
15.196595,8,1.278391
17.021716,9,1.290843
20.831746,14,1.309868
17.193495,13,1.329412
18.103072,8,1.341276
14.424192,5,1.348801
12.491289,7,1.359055
21.504251,15,1.380539
19.238985,11,1.396296
18.143364,15,1.417805
20.709688,10,1.432542
14.1638,8,1.444466
18.553813,10,1.458961
13.814386,16,1.482068
16.761178,9,1.495111
14.595458,5,1.502705
18.907493,11,1.518225
16.926289,13,1.536752
13.519637,7,1.546841
15.535762,5,1.554224
21.701551,19,1.581098
17.350996,6,1.589809
13.563425,17,1.615048
19.4737,7,1.626042
13.10566,12,1.644175
13.855807,11,1.660249
16.239844,17,1.684216
16.40521,9,1.697431
15.222114,6,1.705873
17.655012,8,1.717713
13.351558,12,1.735083
16.908692,7,1.745497
15.441647,6,1.754693
6.753245,28,1.79091
10.503922,10,1.804062
19.907623,8,1.815215
18.301698,8,1.826437
13.773667,19,1.85201
13.910466,10,1.865806
16.556479,11,1.880764
19.802687,9,1.892815
20.468637,9,1.904726
16.607964,7,1.914288
18.524381,7,1.924038
18.20554,19,1.948945
12.211625,12,1.967636
13.371892,10,1.987794
17.448517,7,2.000668
20.549516,10,2.016803
15.675333,9,2.033909
16.316539,11,2.054191
7.717568,10,2.069627
16.161609,6,2.092129
15.854834,12,2.137895
18.877001,10,2.176117
18.249024,12,2.20151
18.397533,15,2.231492
15.283959,16,2.261507
19.618219,12,2.284953
5.696155,14,2.311792
18.611479,8,2.327877
10.041017,11,2.349223
17.083924,11,2.370364
16.217144,6,2.382523
11.086074,11,2.40286
16.419729,7,2.414306
16.68161,12,2.438427
14.504077,7,2.449906
15.299379,14,2.470245
18.567925,8,2.48165
16.582136,10,2.494908
16.293426,13,2.511231
16.094398,9,2.52301
12.776206,12,2.537976
19.598602,17,2.559157
17.562748,9,2.571095
14.286329,13,2.587701
14.790999,8,2.598111
15.066584,9,2.610346
17.824253,8,2.621417
